driver_id,window_start,window_end,window_total_fare
10,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,16.92
10,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,16.92
86,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,104.75
41,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,7.39
25,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,74.75
82,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,101.28
24,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,115.88
25,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,74.75
25,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,74.75
60,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,22.14
60,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,22.14
48,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,60.69
17,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,66.55
82,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,101.28
41,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,7.39
86,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,104.75
41,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,7.39
10,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,16.92
25,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,74.75
24,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,115.88
60,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,22.14
48,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,60.69
49,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,141.62
49,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,141.62
70,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,94.89
48,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,60.69
82,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,101.28
49,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,141.62
17,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,66.55
60,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,22.14
86,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,104.75
25,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,74.75
10,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,16.92
86,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,104.75
2,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,129.43
24,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,115.88
2,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,129.43
86,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,104.75
24,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,115.88
48,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,60.69
24,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,115.88
60,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,22.14
82,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,101.28
17,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,66.55
17,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,66.55
82,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,101.28
70,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,94.89
41,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,7.39
70,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,94.89
17,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,66.55
2,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,129.43
41,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,7.39
2,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,129.43
49,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,141.62
70,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,94.89
48,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,60.69
10,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,16.92
49,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,141.62
70,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,94.89
2,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,129.43
