driver_id,window_start,window_end,window_total_fare
13,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,137.46
74,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,128.21
13,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,243.10000000000002
25,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,147.19
74,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,128.21
12,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,208.46
25,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,147.19
25,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,147.19
100,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,35.93
100,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,35.93
92,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,115.66
62,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,74.11
100,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,35.93
75,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,30.42
74,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,128.21
92,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,115.66
92,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,115.66
92,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,115.66
74,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,128.21
12,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,208.46
100,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,35.93
75,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,30.42
13,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,243.10000000000002
12,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,143.05
62,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,57.4
25,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,147.19
13,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,243.10000000000002
12,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,208.46
75,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,30.42
92,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,115.66
74,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,128.21
62,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,74.11
62,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,74.11
62,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,74.11
25,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,72.44
100,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,35.93
12,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,208.46
75,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,30.42
75,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,30.42
13,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,243.10000000000002
