driver_id,window_start,window_end,window_total_fare
88,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,313.85999999999996
43,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,128.66
34,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,176.62
34,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,176.62
43,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,128.66
34,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,176.62
1,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,66.08
88,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,313.85999999999996
43,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,128.66
1,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,66.08
34,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,176.62
92,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,193.55
36,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,192.87
34,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,176.62
43,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,128.66
92,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,193.55
92,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,193.55
92,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,193.55
88,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,115.21
49,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,285.22
49,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,285.22
36,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,192.87
43,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,128.66
1,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,66.08
88,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,313.85999999999996
1,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,66.08
88,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,313.85999999999996
49,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,143.6
92,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,193.55
36,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,192.87
36,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,54.25
49,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,285.22
36,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,192.87
49,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,285.22
1,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,66.08
