driver_id,window_start,window_end,window_total_fare
83,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,34.26
79,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,202.77999999999997
99,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,160.5
66,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,169.37
66,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,169.37
3,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,117.66
3,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,117.66
38,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,262.88
79,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,202.77999999999997
38,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,262.88
66,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,55.68
8,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,113.79
38,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,262.88
99,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,160.5
66,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,169.37
83,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,34.26
3,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,117.66
8,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,113.79
83,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,34.26
79,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,202.77999999999997
83,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,34.26
99,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,160.5
3,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,117.66
38,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,262.88
38,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,262.88
8,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,113.79
79,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,202.77999999999997
79,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,202.77999999999997
83,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,34.26
8,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,113.79
99,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,142.36
66,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,169.37
99,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,160.5
8,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,113.79
3,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,117.66
