driver_id,window_start,window_end,window_total_fare
43,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,177.99
90,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,65.99
71,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,52.97
90,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,65.99
43,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,177.99
71,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,52.97
71,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,52.97
4,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,188.28
53,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,78.13
43,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,177.99
90,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,65.99
53,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,205.70999999999998
43,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,177.99
4,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,188.28
62,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,153.57999999999998
24,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,383.37
4,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,188.28
53,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,205.70999999999998
71,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,52.97
43,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,177.99
24,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,127.84
62,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,136.87
53,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,205.70999999999998
90,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,65.99
71,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,52.97
4,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,188.28
24,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,383.37
90,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,65.99
24,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,383.37
24,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,383.37
62,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,153.57999999999998
62,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,153.57999999999998
62,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,153.57999999999998
4,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,188.28
53,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,205.70999999999998
