driver_id,window_start,window_end,window_total_fare
10,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,284.52
83,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,41.309999999999995
10,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,301.44
27,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,59.18
27,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,59.18
97,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,77.68
76,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,117.93
76,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,117.93
51,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,77.99
27,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,59.18
97,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,77.68
10,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,301.44
27,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,59.18
83,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,41.309999999999995
83,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,7.05
51,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,77.99
51,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,77.99
83,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,41.309999999999995
56,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,88.13
56,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,88.13
56,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,88.13
76,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,117.93
51,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,77.99
83,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,41.309999999999995
97,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,77.68
76,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,117.93
51,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,77.99
10,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,301.44
27,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,59.18
97,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,77.68
10,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,284.52
97,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,77.68
76,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,117.93
56,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,88.13
56,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,88.13
