driver_id,window_start,window_end,window_total_fare
71,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,157.49
98,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,162.11
23,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,12.86
39,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,220.64
98,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,85.9
23,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,12.86
39,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,220.64
98,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,162.11
52,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,86.48
23,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,12.86
23,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,12.86
38,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,292.99
71,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,157.49
89,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,226.69
69,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,197.68
38,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,292.99
98,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,162.11
62,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,245.14
39,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,79.94
71,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,157.49
89,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,469.05
75,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,139.87
52,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,246.69
75,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,170.29000000000002
38,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,292.99
69,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,85.57
71,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,104.52
98,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,85.9
62,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,228.43
39,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,220.64
69,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,197.68
38,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,30.11
38,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,292.99
62,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,91.56
71,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,157.49
23,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,12.86
69,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,197.68
75,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,170.29000000000002
52,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,142.78
62,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,245.14
62,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,245.14
52,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,246.69
89,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,226.69
89,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,469.05
69,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,197.68
89,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,469.05
52,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,246.69
39,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,220.64
75,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,170.29000000000002
75,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,170.29000000000002
