driver_id,window_start,window_end,window_total_fare
13,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,145.71
90,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,135.58999999999997
90,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,135.58999999999997
90,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,69.6
45,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,60.71
25,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,179.41
25,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,179.41
32,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,44.099999999999994
32,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,10.59
9,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,97.11
9,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,97.11
9,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,97.11
24,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,135.99
9,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,97.11
24,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,519.36
45,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,60.71
91,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,65.45
91,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,65.45
13,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,251.35000000000002
24,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,263.83000000000004
91,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,125.83000000000001
25,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,179.41
13,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,251.35000000000002
32,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,10.59
90,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,135.58999999999997
45,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,60.71
24,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,519.36
90,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,135.58999999999997
24,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,519.36
91,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,125.83000000000001
13,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,8.25
45,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,60.71
45,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,60.71
25,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,32.22
25,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,104.66
91,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,125.83000000000001
32,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,44.099999999999994
9,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,97.11
32,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,44.099999999999994
13,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,251.35000000000002
