driver_id,window_start,window_end,window_total_fare
80,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,95.82
29,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,58.88
29,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,58.88
89,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,310.48
29,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,15.14
80,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,333.15
92,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,256.33000000000004
87,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,127.94
87,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,127.94
29,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,15.14
92,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,256.33000000000004
80,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,333.15
92,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,256.33000000000004
89,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,552.84
18,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,249.52
80,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,95.82
80,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,333.15
29,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,58.88
92,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,62.78
87,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,127.94
18,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,249.52
92,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,256.33000000000004
87,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,127.94
18,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,143.37
87,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,127.94
89,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,310.48
89,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,552.84
89,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,552.84
18,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,249.52
18,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,249.52
