driver_id,window_start,window_end,window_total_fare
98,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,76.21
61,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,103.04
98,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,76.21
19,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,83.83
66,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,113.69
66,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,113.69
29,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,43.74
78,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,32.72
22,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,134.12
98,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,76.21
16,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,97.32
29,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,43.74
61,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,103.04
24,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,255.53
78,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,32.72
61,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,103.04
16,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,97.32
98,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,76.21
61,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,103.04
19,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,83.83
19,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,83.83
66,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,113.69
22,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,134.12
24,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,255.53
16,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,97.32
22,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,134.12
78,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,32.72
22,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,134.12
19,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,83.83
19,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,83.83
29,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,43.74
78,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,32.72
29,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,43.74
24,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,255.53
66,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,113.69
16,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,97.32
22,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,134.12
24,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,255.53
24,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,255.53
16,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,97.32
29,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,43.74
61,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,103.04
78,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,32.72
98,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,76.21
66,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,113.69
