driver_id,window_start,window_end,window_total_fare
83,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,54.629999999999995
88,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,165.93
27,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,142.19
27,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,142.19
28,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,233.06
88,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,524.68
32,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,138.83999999999997
27,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,142.19
32,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,105.33
36,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,145.11
36,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,337.98
27,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,142.19
22,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,284.88
83,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,54.629999999999995
83,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,20.37
83,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,54.629999999999995
88,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,326.03
28,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,233.06
83,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,54.629999999999995
22,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,284.88
36,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,337.98
32,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,105.33
88,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,524.68
28,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,176.77
22,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,284.88
88,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,524.68
22,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,39.04
27,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,142.19
22,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,39.04
36,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,337.98
28,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,233.06
36,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,199.36
28,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,70.18
32,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,138.83999999999997
32,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,138.83999999999997
