driver_id,window_start,window_end,window_total_fare
15,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,86.93
66,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,374.27
59,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,110.34
15,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,174.65
84,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,120.24
69,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,221.17000000000002
84,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,120.24
66,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,260.58
9,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,168.0
9,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,168.0
9,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,168.0
9,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,168.0
66,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,374.27
84,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,120.24
84,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,120.24
15,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,174.65
66,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,57.36
59,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,110.34
15,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,86.93
59,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,110.34
69,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,109.05999999999999
59,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,110.34
69,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,221.17000000000002
15,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,174.65
69,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,221.17000000000002
59,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,110.34
69,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,221.17000000000002
66,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,374.27
9,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,168.0
84,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,120.24
