driver_id,window_start,window_end,window_total_fare
71,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,254.01
68,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,100.12
39,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,287.83
27,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,276.2
27,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,276.2
35,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,58.42
35,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,58.42
68,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,54.42
71,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,254.01
79,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,279.71999999999997
27,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,276.2
40,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,250.09
35,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,58.42
27,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,276.2
39,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,147.13
71,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,254.01
40,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,17.37
39,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,67.19
35,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,58.42
71,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,201.04
79,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,76.94
39,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,287.83
40,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,250.09
40,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,250.09
40,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,250.09
27,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,276.2
68,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,100.12
79,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,76.94
79,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,279.71999999999997
79,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,279.71999999999997
68,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,100.12
39,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,287.83
68,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,100.12
71,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,96.52
35,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,58.42
