driver_id,window_start,window_end,window_total_fare
17,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,88.49
39,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,310.61
27,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,304.26
27,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,28.06
27,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,304.26
66,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,353.71
12,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,178.29999999999998
66,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,93.13
12,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,178.29999999999998
40,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,272.36
66,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,467.4
27,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,304.26
83,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,82.63
40,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,22.27
83,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,48.370000000000005
39,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,169.91
83,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,28.0
83,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,82.63
66,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,150.49
40,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,39.64
83,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,82.63
39,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,89.97
12,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,321.35
17,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,262.29
39,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,310.61
12,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,386.76
40,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,272.36
40,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,272.36
17,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,88.49
27,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,304.26
17,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,262.29
39,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,310.61
66,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,467.4
12,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,386.76
17,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,195.74
