driver_id,window_start,window_end,window_total_fare
10,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,377.89
14,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,64.78
10,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,394.81
14,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,64.78
94,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,208.02999999999997
10,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,93.37
99,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,109.22
85,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,147.51
38,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,319.90000000000003
99,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,269.72
38,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,26.91
14,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,123.19
85,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,147.51
96,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,126.16
94,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,109.71
94,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,109.71
14,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,123.19
96,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,198.18
99,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,269.72
38,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,319.90000000000003
38,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,57.019999999999996
10,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,394.81
38,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,319.90000000000003
96,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,198.18
94,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,109.71
85,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,147.51
96,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,126.16
14,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,64.78
94,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,208.02999999999997
10,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,377.89
99,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,109.22
99,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,251.58
96,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,126.16
85,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,147.51
85,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,147.51
