driver_id,window_start,window_end,window_total_fare
35,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,184.65
35,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,184.65
60,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,56.89
7,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,108.23
97,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,82.78
33,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,131.08
33,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,239.05
60,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,79.03
64,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,26.65
60,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,56.89
35,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,184.65
97,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,82.78
83,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,131.38
7,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,108.23
83,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,97.12
83,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,76.75
83,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,131.38
7,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,99.17
7,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,99.17
83,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,131.38
64,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,26.65
64,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,26.65
33,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,131.08
97,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,82.78
7,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,99.17
35,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,184.65
60,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,79.03
97,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,5.1
64,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,26.65
33,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,239.05
97,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,82.78
33,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,131.08
60,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,56.89
64,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,26.65
35,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,184.65
