driver_id,window_start,window_end,window_total_fare
30,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,52.35
21,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,66.72
16,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,47.37
76,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,206.91000000000003
51,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,117.58
76,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,88.98
9,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,256.24
9,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,256.24
9,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,256.24
9,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,256.24
21,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,201.56
51,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,117.58
51,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,117.58
56,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,108.29
30,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,52.35
56,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,229.39
56,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,229.39
16,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,144.69
56,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,229.39
76,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,206.91000000000003
76,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,206.91000000000003
51,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,117.58
30,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,52.35
16,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,144.69
30,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,52.35
16,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,47.37
21,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,129.43
30,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,52.35
16,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,47.37
9,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,88.24
51,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,39.59
21,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,287.08
76,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,206.91000000000003
21,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,287.08
56,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,229.39
