driver_id,window_start,window_end,window_total_fare
43,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,88.66
43,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,266.65
5,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,43.73
100,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,56.14
74,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,211.62
33,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,156.63000000000002
89,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,441.79
43,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,266.65
33,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,264.6
66,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,480.95
66,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,220.37
43,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,88.66
66,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,594.64
5,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,43.73
5,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,43.73
100,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,92.07
74,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,211.62
66,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,277.73
89,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,684.1500000000001
100,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,92.07
33,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,156.63000000000002
43,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,266.65
74,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,63.61
5,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,43.73
74,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,83.41
33,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,264.6
5,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,43.73
100,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,56.14
89,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,131.31
74,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,211.62
89,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,441.79
89,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,684.1500000000001
33,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,156.63000000000002
100,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,92.07
66,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,594.64
