driver_id,window_start,window_end,window_total_fare
43,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,226.65
43,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,404.64
39,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,382.3
60,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,87.59
43,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,404.64
60,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,109.73
64,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,112.13999999999999
9,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,365.15
9,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,365.15
91,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,88.0
60,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,87.59
9,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,365.15
9,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,365.15
43,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,226.65
83,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,208.83999999999997
63,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,43.64
39,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,241.6
83,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,174.57999999999998
83,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,154.20999999999998
83,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,208.83999999999997
91,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,153.45
91,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,153.45
83,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,208.83999999999997
64,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,112.13999999999999
64,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,112.13999999999999
43,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,404.64
39,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,161.66
60,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,109.73
39,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,382.3
64,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,112.13999999999999
63,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,179.08999999999997
91,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,213.83
63,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,43.64
9,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,197.14999999999998
91,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,213.83
60,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,87.59
39,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,382.3
63,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,43.64
63,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,179.08999999999997
64,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,112.13999999999999
