driver_id,window_start,window_end,window_total_fare
42,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,80.03
34,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,207.3
34,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,207.3
42,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,80.03
34,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,30.68
5,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,88.05
7,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,203.69
42,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,80.03
16,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,79.55
34,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,207.3
5,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,88.05
5,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,88.05
87,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,209.94
7,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,203.69
7,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,194.63
16,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,176.87
7,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,194.63
7,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,194.63
42,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,80.03
87,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,209.94
16,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,176.87
5,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,88.05
5,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,88.05
8,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,218.06
87,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,82.0
87,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,209.94
16,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,79.55
87,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,209.94
42,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,80.03
16,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,79.55
8,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,218.06
8,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,104.27
8,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,104.27
34,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,30.68
8,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,218.06
