driver_id,window_start,window_end,window_total_fare
88,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,95.02
55,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,98.12
55,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,98.12
13,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,105.64
88,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,95.02
94,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,98.32
46,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,149.12
88,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,95.02
94,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,98.32
89,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,122.8
94,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,98.32
67,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,13.89
21,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,85.52
46,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,149.12
62,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,16.71
21,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,85.52
67,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,13.89
46,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,149.12
89,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,122.8
55,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,98.12
55,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,98.12
94,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,98.32
13,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,105.64
67,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,13.89
21,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,85.52
13,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,105.64
89,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,122.8
88,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,95.02
46,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,149.12
88,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,95.02
67,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,13.89
62,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,16.71
67,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,13.89
62,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,16.71
62,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,16.71
62,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,16.71
13,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,105.64
89,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,122.8
94,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,98.32
89,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,122.8
21,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,85.52
46,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,149.12
21,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,85.52
55,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,98.12
13,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,105.64
