driver_id,window_start,window_end,window_total_fare
42,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,222.86
47,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,65.68
34,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,275.09000000000003
34,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,275.09000000000003
47,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,65.68
42,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,222.86
34,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,98.47
21,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,126.32
42,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,222.86
21,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,193.04
9,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,461.78999999999996
86,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,138.31
9,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,461.78999999999996
34,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,275.09000000000003
9,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,461.78999999999996
21,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,327.88
75,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,96.79
9,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,96.64
75,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,236.66000000000003
86,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,20.56
42,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,222.86
86,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,20.56
86,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,138.31
47,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,65.68
75,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,267.08000000000004
47,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,65.68
21,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,255.75
42,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,222.86
9,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,293.78999999999996
47,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,65.68
34,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,98.47
75,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,267.08000000000004
21,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,413.4
75,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,267.08000000000004
86,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,33.56
