driver_id,window_start,window_end,window_total_fare
45,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,152.75
61,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,104.04
83,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,48.22
35,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,270.74
35,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,270.74
45,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,152.75
45,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,213.46
33,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,229.83000000000004
64,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,239.02999999999997
61,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,207.08
83,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,257.05999999999995
83,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,222.79999999999998
83,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,202.42999999999998
83,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,257.05999999999995
45,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,213.46
61,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,104.04
61,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,104.04
64,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,126.89
64,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,239.02999999999997
64,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,239.02999999999997
33,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,229.83000000000004
35,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,270.74
35,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,86.09
33,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,337.8
61,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,104.04
45,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,213.46
33,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,73.2
33,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,229.83000000000004
64,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,239.02999999999997
35,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,270.74
