driver_id,window_start,window_end,window_total_fare
80,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,188.11
39,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,449.49
15,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,114.95
93,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,131.69
93,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,131.69
21,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,177.47
82,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,22.1
21,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,244.19
15,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,202.67000000000002
80,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,92.29
82,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,22.1
25,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,194.91
25,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,15.5
93,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,131.69
15,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,28.02
63,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,192.33999999999997
82,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,22.1
21,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,379.03
75,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,205.63
39,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,308.78999999999996
15,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,114.95
15,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,28.02
28,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,360.86
86,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,92.63
75,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,345.5
82,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,123.38
39,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,67.19
80,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,188.11
25,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,15.5
39,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,228.85
86,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,113.19
80,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,425.44
63,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,148.7
93,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,131.69
80,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,92.29
28,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,304.57
86,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,113.19
86,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,230.94
28,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,127.8
63,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,327.78999999999996
63,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,192.33999999999997
25,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,47.72
21,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,306.9
25,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,120.16
75,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,108.84
39,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,449.49
28,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,197.98000000000002
63,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,192.33999999999997
82,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,22.1
75,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,375.9200000000001
28,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,127.8
21,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,464.54999999999995
75,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,375.9200000000001
93,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,131.69
86,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,126.19
