driver_id,window_start,window_end,window_total_fare
69,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,113.4
20,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,113.13
44,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,86.65
44,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,86.65
77,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,86.16
79,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,322.72999999999996
69,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,334.57000000000005
20,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,190.5
77,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,28.14
20,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,113.13
79,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,43.01
20,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,190.5
87,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,224.29
44,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,86.65
86,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,210.95
44,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,86.65
87,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,14.35
69,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,222.45999999999998
20,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,113.13
86,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,231.51
79,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,119.94999999999999
69,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,334.57000000000005
77,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,86.16
77,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,28.14
86,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,231.51
69,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,113.4
86,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,349.26
77,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,86.16
87,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,96.35
79,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,119.94999999999999
44,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,86.65
87,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,224.29
79,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,322.72999999999996
87,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,224.29
86,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,244.51
