driver_id,window_start,window_end,window_total_fare
14,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,160.88
80,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,280.76
39,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,542.53
14,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,160.88
82,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,43.650000000000006
80,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,184.94
82,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,43.650000000000006
9,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,540.77
92,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,94.95
9,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,540.77
14,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,96.1
9,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,540.77
82,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,43.650000000000006
39,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,401.83
92,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,351.28000000000003
9,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,175.62
92,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,94.95
28,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,503.09000000000003
14,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,219.29
82,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,144.93
39,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,160.23000000000002
80,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,280.76
39,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,321.89
80,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,518.09
92,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,157.73000000000002
80,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,184.94
28,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,446.79999999999995
28,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,270.03
92,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,351.28000000000003
14,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,160.88
9,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,372.77
39,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,542.53
82,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,43.650000000000006
28,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,340.21000000000004
28,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,270.03
