driver_id,window_start,window_end,window_total_fare
56,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,86.5
93,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,196.7
22,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,11.4
81,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,108.29
93,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,196.7
93,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,196.7
7,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,248.12
96,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,206.64
56,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,194.79000000000002
7,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,239.06
56,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,315.89
56,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,315.89
56,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,315.89
7,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,44.43
7,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,239.06
7,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,239.06
81,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,108.29
93,2025-10-31T17:59:00.000Z,2025-10-31T18:04:00.000Z,196.7
96,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,278.66
22,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,11.4
81,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,108.29
22,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,296.28
81,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,108.29
22,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,50.44
22,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,50.44
96,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,206.64
96,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,80.48
96,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,206.64
81,2025-10-31T18:00:00.000Z,2025-10-31T18:05:00.000Z,108.29
93,2025-10-31T17:58:00.000Z,2025-10-31T18:03:00.000Z,196.7
