driver_id,window_start,window_end,window_total_fare
88,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,198.64999999999998
54,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,28.3
54,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,28.3
88,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,198.64999999999998
28,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,56.29
12,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,65.41
88,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,198.64999999999998
89,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,242.36
80,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,120.31
80,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,120.31
91,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,60.38
80,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,120.31
14,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,58.41
96,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,72.02
80,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,120.31
12,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,65.41
89,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,242.36
28,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,56.29
14,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,58.41
14,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,58.41
96,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,72.02
91,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,60.38
54,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,28.3
80,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,120.31
91,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,60.38
54,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,28.3
12,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,65.41
89,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,242.36
14,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,58.41
88,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,198.64999999999998
96,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,72.02
54,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,28.3
88,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,198.64999999999998
96,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,72.02
91,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,60.38
12,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,65.41
28,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,56.29
89,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,242.36
89,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,242.36
91,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,60.38
14,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,58.41
96,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,72.02
12,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,65.41
28,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,56.29
28,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,56.29
