driver_id,window_start,window_end,window_total_fare
6,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,121.86
99,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,18.14
7,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,9.06
32,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,33.51
99,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,18.14
6,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,121.86
7,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,9.06
6,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,121.86
15,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,87.72
6,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,121.86
53,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,127.58
32,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,33.51
53,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,127.58
36,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,138.62
99,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,18.14
52,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,103.91
15,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,87.72
7,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,9.06
53,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,127.58
32,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,33.51
15,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,87.72
52,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,103.91
99,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,18.14
36,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,138.62
53,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,127.58
15,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,87.72
7,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,9.06
36,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,138.62
15,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,87.72
36,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,138.62
52,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,103.91
6,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,121.86
52,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,103.91
7,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,9.06
32,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,33.51
36,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,138.62
32,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,33.51
52,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,103.91
53,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,127.58
99,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,18.14
