driver_id,window_start,window_end,window_total_fare
68,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,45.7
72,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,43.0
22,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,245.84
63,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,135.45
33,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,107.97
80,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,237.32999999999998
80,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,237.32999999999998
80,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,237.32999999999998
63,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,135.45
22,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,245.84
80,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,237.32999999999998
72,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,43.0
22,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,245.84
70,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,104.63
22,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,245.84
33,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,107.97
80,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,237.32999999999998
33,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,107.97
33,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,107.97
63,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,135.45
72,2025-10-31T17:52:00.000Z,2025-10-31T17:57:00.000Z,43.0
22,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,245.84
33,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,107.97
63,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,135.45
68,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,45.7
68,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,45.7
70,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,104.63
70,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,104.63
72,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,43.0
68,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,45.7
70,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,104.63
63,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,135.45
68,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,45.7
70,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,104.63
72,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,43.0
