driver_id,window_start,window_end,window_total_fare
13,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,28.95
40,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,232.72
13,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,134.59
28,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,162.88
38,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,121.81
38,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,121.81
17,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,173.8
38,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,121.81
40,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,232.72
24,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,268.25
28,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,162.88
18,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,106.15
13,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,134.59
38,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,121.81
17,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,173.8
24,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,12.72
13,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,134.59
40,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,232.72
38,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,121.81
40,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,232.72
28,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,106.59
24,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,268.25
40,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,232.72
18,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,106.15
24,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,268.25
24,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,268.25
17,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,173.8
17,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,173.8
28,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,162.88
18,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,106.15
18,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,106.15
17,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,107.25
18,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,106.15
28,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,162.88
13,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,134.59
