driver_id,window_start,window_end,window_total_fare
34,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,78.65
34,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,78.65
34,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,78.65
39,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,48.79
58,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,135.14
20,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,77.37
39,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,48.79
50,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,20.75
37,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,66.96
4,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,101.6
20,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,77.37
58,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,135.14
34,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,78.65
20,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,77.37
21,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,157.64999999999998
34,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,78.65
4,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,101.6
37,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,66.96
50,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,20.75
20,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,77.37
50,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,20.75
37,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,66.96
21,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,72.13
37,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,66.96
4,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,101.6
50,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,20.75
39,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,48.79
21,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,157.64999999999998
58,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,135.14
4,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,101.6
20,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,77.37
58,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,135.14
50,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,20.75
4,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,101.6
39,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,48.79
21,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,157.64999999999998
58,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,135.14
39,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,48.79
21,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,157.64999999999998
37,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,66.96
