driver_id,window_start,window_end,window_total_fare
72,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,187.79
73,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,32.87
95,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,96.94
86,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,117.75
11,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,77.13
73,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,32.87
95,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,96.94
72,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,144.79
48,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,139.14
86,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,117.75
11,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,77.13
73,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,32.87
48,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,78.45
52,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,160.20999999999998
95,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,96.94
73,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,32.87
72,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,187.79
95,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,96.94
48,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,139.14
11,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,77.13
48,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,139.14
52,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,160.20999999999998
11,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,77.13
73,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,32.87
86,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,117.75
86,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,117.75
52,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,56.3
95,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,96.94
52,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,160.20999999999998
72,2025-10-31T17:55:00.000Z,2025-10-31T18:00:00.000Z,187.79
52,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,160.20999999999998
11,2025-10-31T17:53:00.000Z,2025-10-31T17:58:00.000Z,77.13
48,2025-10-31T17:54:00.000Z,2025-10-31T17:59:00.000Z,139.14
72,2025-10-31T17:56:00.000Z,2025-10-31T18:01:00.000Z,187.79
86,2025-10-31T17:57:00.000Z,2025-10-31T18:02:00.000Z,13.0
